mongoId,title,year
6989a4dd10805f5685d66403,A Painted house: A novel (The Oxford American),2000
6989a4dd10805f5685d66405,Angela's Ashes,2000
6989a4dd10805f5685d66407,The Nanny Diaries,2000
6989a4dd10805f5685d66408,Bridget Jones's Diary,2000
6989a4dd10805f5685d6640a,The Pilot's Wife (Oprah's Book Club Selection Ser. ),2000
6989a4dd10805f5685d6640b,The poisonwood Bible : a novel,2000
6989a4dd10805f5685d6640d,The Red Tent (Bestselling Backlist),2000
6989a4dd10805f5685d6640f,Angels & Demons: Mortuss Optare,2000
6989a4dd10805f5685d66410,The Summons,2000
6989a4dd10805f5685d66411,The Notebook,2000
6989a4dd10805f5685d66413,Girl with a Pearl Earring,2000
6989a4dd10805f5685d66415,The pelican brief,2000
6989a4dd10805f5685d66417,Harry Potter and the Chamber of Secrets,2000
6989a4dd10805f5685d66419,Summer Sisters : A Novel,2000
6989a4dd10805f5685d6641b,The Firm: The Troubled Life of the House of Windsor,2000
6989a4dd10805f5685d6641d,Cold Mountain: A Screenplay,2000
6989a4dd10805f5685d6641e,A Time to Kill (John Grisham),2000
6989a4dd10805f5685d6641f,The Street Lawyer,2000
6989a4dd10805f5685d66420,The No. 1 Ladies' Detective Agency,2000
6989a4dd10805f5685d66422,Interview With The Vampire,2000
6989a4dd10805f5685d66424,To Kill a Mockingbird: Threatening Boundaries (Twayne's Masterwork Studies Series) (No 139),2000
6989a4dd10805f5685d66425,The Hobbit,2000
6989a4dd10805f5685d66427,Little Altars Everywhere,2000
6989a4dd10805f5685d66429,1st to Die: A Novel,2000
6989a4dd10805f5685d6642b,The Chamber,2000
6989a4dd10805f5685d6642c,The Horse Whisperer: An Illustrated Companion to the Major Motion Picture,2000
6989a4dd10805f5685d6642e,"Wuthering Heights: Complete, Authoritative Text With Biographical and Historical Contexts, Critical History, and Essays from Five Contemporary ... (Case Studies in Contemporary Criticism)",2000
6989a4dd10805f5685d66430,The Rainmaker (John Grisham),2000
6989a4dd10805f5685d66431,Jurassic Park,2000
6989a4dd10805f5685d66433,Dreamcatcher,2000
6989a4dd10805f5685d66435,HANNIBAL,2000
6989a4dd10805f5685d66437,The Reader,2000
6989a4dd10805f5685d66439,Pride and Prejudice,2000
6989a4dd10805f5685d6643b,Seabiscuit: An American Legend (Trade Edition) (Turtleback School & Library Binding Edition),2000
6989a4dd10805f5685d6643d,LEFT BEHIND (Sweet Valley Twins),2000
6989a4dd10805f5685d6643f,Midnight in the Garden of Good and Evil,2000
6989a4dd10805f5685d66440,The King of Torts,2000
6989a4dd10805f5685d66441,Me Talk Pretty One Day,2000
6989a4dd10805f5685d66443,A Prayer for Owen Meany (Franklin Library Signed First Edition),2000
6989a4dd10805f5685d66445,The Catcher in the Rye,2000
6989a4dd10805f5685d66446,The Handmaid's Tale,2000
6989a4dd10805f5685d66448,I know this much is true,2000
6989a4dd10805f5685d6644a,Bel Canto: A History of Vocal Pedagogy,2000
6989a4dd10805f5685d6644c,Hearts in Atlantis,2000
6989a4dd10805f5685d6644d,Lucky,2000
6989a4dd10805f5685d6644e,BELOVED: Parts I - II The Garden Message & In the Still of the Evening,2000
6989a4dd10805f5685d66450,Fahrenheit 451 (Spanish) (Spanish Edition),2000
6989a4dd10805f5685d66452,Like Water for Chocolate,2000
6989a4dd10805f5685d66454,Jane Eyre (Penguin Classics),2000
6989a4dd10805f5685d66456,Black and Blue: A Novel (Oprah's Book Club),2000
6989a4dd10805f5685d66458,The Fellowship of the Ring,2000
6989a4dd10805f5685d66459,Wicked: Sexy Tales of Legendary Lovers,2000
6989a4dd10805f5685d6645a,Harry Potter and the Goblet of Fire (Score),2000
6989a4dd10805f5685d6645c,The Corrections,2000
6989a4dd10805f5685d6645e,When the Wind Blows,2000
6989a4dd10805f5685d66460,The Bean Trees (G K Hall Large Print Book Series),2000
6989a4dd10805f5685d66461,Prey,2000
6989a4dd10805f5685d66463,About a Boy,2000
6989a4dd10805f5685d66465,Violets Are Blue,2000
6989a4dd10805f5685d66466,A Walk to Remember,2000
6989a4dd10805f5685d66468,Sphere,2000
6989a4dd10805f5685d66469,Stones from the River,2000
6989a4dd10805f5685d6646b,The Lost World,2000
6989a4dd10805f5685d6646c,Black Notice,2000
6989a4dd10805f5685d6646e,Balzac and the Little Chinese Seamstress,2000
6989a4dd10805f5685d66470,Bridget Jones: The Edge of Reason,2000
